id,current_name,detected_language,name_en,name_bn,current_slug,bmdc_number,needs_review
83b26c3c-1263-4829-af3f-4cad2f955931,ডা. মাহমুদুল হাসান বান্না,bn,Mahmudul Hasan Banna,মাহমুদুল হাসান বান্না,ড-মহমদল-হসন-বনন,,
16c5f260-490d-4814-84c8-02194e226a88,ডাঃ মাহমুদুল হাসান বান্না,bn,Mahmudul Hasan Banna,মাহমুদুল হাসান বান্না,ড-মহমদল-হসন-বনন-fecd41,,
19726198-dd00-49e3-a022-4d1c9a267046,ডাঃ মিজবাউল বাহার,bn,Mizbaul Bahar,মিজবাউল বাহার,ড-মজবউল-বহর,,
3fd5b402-aa88-46ad-8fcd-ed34bc689ec8,ডা: মির্জা গোলাম সারওয়ার (মুন),bn,Mirza Golam Sarwar (Moon),মির্জা গোলাম সারওয়ার (মুন),ড-মরজ-গলম-সরওয়র-মন,,
2bde37d9-4b75-4411-8576-b379a8a72241,ডাঃ মির্জা শরীফুজ্জামান,bn,Mirza Sharifuzzaman,মির্জা শরীফুজ্জামান,ড-মরজ-শরফজজমন,,
d2778465-ea99-44a2-96c5-4bd58d481e69,ডা. মীনা দেবী,bn,Meena Debi,মীনা দেবী,ড-মন-দব-cea2e3,,
cc76ead4-c4a0-4e0b-810f-84a451af098e,ডা: মীনা দেবী,bn,Meena Debi,মীনা দেবী,ড-মন-দব,,
5723f3c6-6a64-4522-839a-26b4f298e623,ডা. মীর রাশেদ আলম অভি,bn,Mir Rashed Alam Abhi,মীর রাশেদ আলম অভি,ড-মর-রশদ-আলম-অভ,,
ce239d50-87a1-4f4e-a72c-e552dee5bf4f,ডাঃ মুনতাসির ফরহাদ,bn,Muntasir Farhad,মুনতাসির ফরহাদ,ড-মনতসর-ফরহদ,,
ab684817-f526-4328-b938-947249dfdd36,ডা: মুনীর হোসেন,bn,Munir Hossain,মুনীর হোসেন,ড-মনর-হসন,এ-১৬২১৯,
8f6ea9ca-0a90-4755-b78f-24abb60f7177,ডা: মুর্শিদুল আরেফিন,bn,Murshidul Arefin,মুর্শিদুল আরেফিন,ড-মরশদল-আরফন,,
6f044c0f-ef74-4b91-a7ef-818d8fa66a32,ডা: মুসররাত শামীম মিতু,bn,Musarrat Shamim Mitu,মুসররাত শামীম মিতু,ড-মসররত-শমম-মত,,
